,0
1078,1078:1747668627824:
1079,1079:1747668627824:
1080,1080:1747668627824:
1081,1081:1747668627824:
1082,1082:1747668627824:
1083,1083:1747668627824:
1084,1084:1747668627824:
1085,1085:1747668627824:
1086,1086:1747668627824:
1087,1087:1747668627824:
1088,1088:1747668627824:
1089,1089:1747668627824:
1090,1090:1747668627824:
1091,1091:1747668627824:
1092,1092:1747668627824:
1093,1093:1747668627824:
1094,1094:1747668627824:
1095,1095:1747668627824:
1096,1096:1747668627824:
1097,1097:1747668627825:
1098,1098:1747668627825:
1099,1099:1747668627825:
1100,1100:1747668627825:
1101,1101:1747668627825:
1102,1102:1747668627825:
1103,1103:1747668627825:
1104,1104:1747668627825:
1105,1105:1747668627825:
1106,1106:1747668627826:
1107,1107:1747668627826:
1108,1108:1747668627826:
1109,1109:1747668627826:
1110,1110:1747668627826:
1111,1111:1747668627826:
1112,1112:1747668627826:
1113,1113:1747668627826:
1114,1114:1747668627826:
1115,1115:1747668627826:
1116,1116:1747668627826:
1117,1117:1747668627826:
1118,1118:1747668627826:
1119,1119:1747668627826:
1120,1120:1747668627826:
1121,1121:1747668627826:
1122,1122:1747668627826:
1123,1123:1747668627827:
1124,1124:1747668627827:
1125,1125:1747668627827:
1126,1126:1747668627827:
1127,1127:1747668627827:
1128,1128:1747668627827:
1129,1129:1747668627827:
1130,1130:1747668627827:
1131,1131:1747668627827:
1132,1132:1747668627827:
1133,1133:1747668627827:
1134,1134:1747668627827:
1135,1135:1747668627827:
1136,1136:1747668627827:
1137,1137:1747668627827:
1138,1138:1747668627827:
1139,1139:1747668627827:
1140,1140:1747668627827:
1141,1141:1747668627827:
1142,1142:1747668627827:
1143,1143:1747668627827:
1144,1144:1747668627827:
1145,1145:1747668627827:
1146,1146:1747668627827:
1147,1147:1747668627827:
1148,1148:1747668627827:
1149,1149:1747668627827:
1150,1150:1747668627827:
1151,1151:1747668627827:
1152,1152:1747668627827:
1153,1153:1747668627827:
1154,1154:1747668627827:
1155,1155:1747668627827:
1156,1156:1747668627827:
1157,1157:1747668627827:
1158,1158:1747668627827:
1159,1159:1747668627827:
1160,1160:1747668627827:
1161,1161:1747668627827:
1162,1162:1747668627828:
1163,1163:1747668627828:
1164,1164:1747668627828:
1165,1165:1747668627828:
1166,1166:1747668627828:
1167,1167:1747668627828:
1168,1168:1747668627828:
1169,1169:1747668627828:
1170,1170:1747668627828:
1171,1171:1747668627828:
1172,1172:1747668627828:
1173,1173:1747668627828:
1174,1174:1747668627828:
1175,1175:1747668627828:
1176,1176:1747668627828:
1177,1177:1747668627828:
1178,1178:1747668627828:
1179,1179:1747668627828:
1180,1180:1747668627828:
1181,1181:1747668627828:
1182,1182:1747668627828:
1183,1183:1747668627836:
1184,1184:1747668627841:
1185,1185:1747668627842:
1186,1186:1747668627842:
1187,1187:1747668627842:
1188,1188:1747668627842:
1189,1189:1747668627842:
1190,1190:1747668627842:
1191,1191:1747668627842:
1192,1192:1747668627843:
1193,1193:1747668627843:
1194,1194:1747668627843:
1195,1195:1747668627843:
1196,1196:1747668627843:
1197,1197:1747668627843:
1198,1198:1747668627843:
1199,1199:1747668627844:
1200,1200:1747668627844:
1201,1201:1747668627844:
1202,1202:1747668627844:
1203,1203:1747668627847:
1204,1204:1747668627847:
1205,1205:1747668627847:
1206,1206:1747668627847:
1207,1207:1747668627848:
1208,1208:1747668627848:
1209,1209:1747668627848:
1210,1210:1747668627854:
1211,1211:1747668627854:
1212,1212:1747668627854:
1213,1213:1747668627854:
1214,1214:1747668627854:
1215,1215:1747668627854:
1216,1216:1747668627854:
1217,1217:1747668627854:
1218,1218:1747668627854:
1219,1219:1747668627854:
1220,1220:1747668627854:
1221,1221:1747668627854:
1222,1222:1747668627855:
1223,1223:1747668627855:
1224,1224:1747668627855:
1225,1225:1747668627855:
1226,1226:1747668627855:
1227,1227:1747668627855:
1228,1228:1747668627855:
