,0
713,713:1747668448905:
714,714:1747668448905:
715,715:1747668448905:
716,716:1747668448905:
717,717:1747668448905:
718,718:1747668448905:
719,719:1747668448905:
720,720:1747668448905:
721,721:1747668448906:
722,722:1747668448907:
723,723:1747668448898:
724,724:1747668448898:
725,725:1747668448898:
726,726:1747668448898:
727,727:1747668448899:
728,728:1747668448899:
729,729:1747668448899:
730,730:1747668448899:
731,731:1747668448899:
732,732:1747668448899:
733,733:1747668448899:
734,734:1747668448899:
735,735:1747668448899:
736,736:1747668448899:
737,737:1747668448899:
738,738:1747668448899:
739,739:1747668448899:
740,740:1747668448899:
741,741:1747668448899:
742,742:1747668448899:
743,743:1747668448899:
744,744:1747668448899:
745,745:1747668448899:
746,746:1747668448899:
747,747:1747668448899:
748,748:1747668448899:
749,749:1747668448899:
750,750:1747668448899:
751,751:1747668448900:
752,752:1747668448900:
753,753:1747668448900:
754,754:1747668448900:
755,755:1747668448900:
756,756:1747668448900:
757,757:1747668448900:
758,758:1747668448900:
759,759:1747668448900:
760,760:1747668448900:
761,761:1747668448900:
762,762:1747668448900:
763,763:1747668448900:
764,764:1747668448900:
765,765:1747668448900:
766,766:1747668448900:
767,767:1747668448900:
768,768:1747668448900:
769,769:1747668448900:
770,770:1747668448900:
771,771:1747668448900:
772,772:1747668448900:
773,773:1747668448900:
774,774:1747668448900:
775,775:1747668448901:
776,776:1747668448901:
777,777:1747668448901:
778,778:1747668448901:
779,779:1747668448901:
780,780:1747668448901:
781,781:1747668448901:
782,782:1747668448901:
783,783:1747668448901:
784,784:1747668448901:
785,785:1747668448901:
786,786:1747668448901:
787,787:1747668448901:
788,788:1747668448901:
789,789:1747668448901:
790,790:1747668448901:
791,791:1747668448901:
792,792:1747668448901:
793,793:1747668448901:
794,794:1747668448901:
795,795:1747668448901:
796,796:1747668448901:
797,797:1747668448901:
798,798:1747668448902:
799,799:1747668448902:
800,800:1747668448902:
801,801:1747668448902:
802,802:1747668448902:
803,803:1747668448902:
804,804:1747668448902:
805,805:1747668448902:
806,806:1747668448902:
807,807:1747668448902:
808,808:1747668448902:
809,809:1747668448902:
810,810:1747668448902:
811,811:1747668448902:
812,812:1747668448902:
813,813:1747668448902:
814,814:1747668448902:
815,815:1747668448902:
816,816:1747668448902:
817,817:1747668448902:
818,818:1747668448902:
819,819:1747668448902:
820,820:1747668448902:
821,821:1747668448902:
822,822:1747668448903:
823,823:1747668448903:
824,824:1747668448903:
825,825:1747668448903:
826,826:1747668448903:
827,827:1747668448903:
828,828:1747668448903:
829,829:1747668448903:
830,830:1747668448903:
831,831:1747668448903:
832,832:1747668448903:
833,833:1747668448903:
834,834:1747668448904:
835,835:1747668448904:
836,836:1747668448904:
837,837:1747668448904:
838,838:1747668448906:
839,839:1747668448906:
840,840:1747668448906:
