,pub_qos,sub_qos,delay,size,instances,rate_of_receive,mean_msg_loss,out_of_order,duplication_rate,mean_gap_ms,std_gap_ms
0,0,0,100,4000,10,0,100,,,
0,0,0,0,0,1,0,100,,,
0,2,0,100,1000,1,0,100,,,
0,1,2,0,4000,1,5317.73,97.77,0.0,0.0,0.19,
0,0,1,0,0,1,83620.1,5.83,0.0,0.0,0.01,
0,2,2,100,0,1,9.37,0.0,0.0,0.0,106.94,
0,2,1,100,1000,10,93.73,0.0,0.0,0.0,106.86,0.17298
0,0,1,100,1000,1,9.53,0.0,0.0,0.0,105.13,
0,1,0,100,1000,1,0,100,,,
0,2,1,100,0,5,48.17,0.0,0.0,0.0,103.99,0.0019
0,0,0,100,0,10,0,100,,,
0,2,1,0,4000,5,3567.23,96.28,0.0,0.0,1.41,0.01067
0,1,1,100,1000,5,48.1,0.0,0.0,0.0,104.1,0.15285
0,2,2,0,0,1,2340.67,99.17,0.0,0.0,0.43,
0,0,2,0,4000,1,37100.3,36.9,0.0,0.0,0.03,
0,1,2,100,1000,10,96.13,0.28,0.0,0.0,103.68,0.115
0,1,1,100,4000,10,94.47,0.0,0.0,0.0,106.05,0.1414
0,1,0,0,4000,5,0,100,,,
