topic,payload,recv_ts
counter/1/0/0/0,311959:1747635527122:,1747635551065
counter/1/0/0/0,311960:1747635527122:,1747635551065
counter/1/0/0/0,311961:1747635527122:,1747635551065
counter/1/0/0/0,311962:1747635527122:,1747635551065
counter/1/0/0/0,311963:1747635527122:,1747635551065
counter/1/0/0/0,311964:1747635527122:,1747635551065
counter/1/0/0/0,311965:1747635527122:,1747635551066
counter/1/0/0/0,311966:1747635527122:,1747635551066
counter/1/0/0/0,311967:1747635527122:,1747635551066
counter/1/0/0/0,311968:1747635527122:,1747635551066
counter/1/0/0/0,311969:1747635527122:,1747635551066
counter/1/0/0/0,311970:1747635527122:,1747635551066
counter/1/0/0/0,311971:1747635527122:,1747635551066
counter/1/0/0/0,311972:1747635527122:,1747635551066
counter/1/0/0/0,311973:1747635527122:,1747635551066
counter/1/0/0/0,311974:1747635527122:,1747635551066
counter/1/0/0/0,311975:1747635527122:,1747635551066
counter/1/0/0/0,311976:1747635527122:,1747635551066
counter/1/0/0/0,311977:1747635527122:,1747635551066
counter/1/0/0/0,311978:1747635527122:,1747635551066
counter/1/0/0/0,311979:1747635527122:,1747635551066
counter/1/0/0/0,311980:1747635527122:,1747635551066
counter/1/0/0/0,311981:1747635527122:,1747635551066
counter/1/0/0/0,311982:1747635527122:,1747635551066
counter/1/0/0/0,311983:1747635527122:,1747635551066
counter/1/0/0/0,311984:1747635527122:,1747635551066
counter/1/0/0/0,311985:1747635527122:,1747635551066
counter/1/0/0/0,311986:1747635527122:,1747635551067
counter/1/0/0/0,311987:1747635527122:,1747635551067
counter/1/0/0/0,311988:1747635527122:,1747635551067
counter/1/0/0/0,311989:1747635527122:,1747635551067
counter/1/0/0/0,311990:1747635527122:,1747635551067
counter/1/0/0/0,311991:1747635527123:,1747635551067
counter/1/0/0/0,311992:1747635527123:,1747635551067
counter/1/0/0/0,311993:1747635527123:,1747635551067
counter/1/0/0/0,311994:1747635527123:,1747635551067
counter/1/0/0/0,311995:1747635527123:,1747635551067
counter/1/0/0/0,311996:1747635527123:,1747635551067
